tic_id,price,bill_id,trip_id
TIC_00054,200000.0,BILL_0029,TRIP_0054
TIC_00055,200000.0,BILL_0029,TRIP_0054
TIC_00056,250000.0,BILL_0030,TRIP_0070
TIC_00057,400000.0,BILL_0031,TRIP_0029
TIC_00058,350000.0,BILL_0032,TRIP_0095
TIC_00059,400000.0,BILL_0033,TRIP_0022
TIC_00060,400000.0,BILL_0033,TRIP_0022
TIC_00061,400000.0,BILL_0033,TRIP_0022
TIC_00062,200000.0,BILL_0034,TRIP_0009
TIC_00063,350000.0,BILL_0035,TRIP_0100
TIC_00064,350000.0,BILL_0035,TRIP_0100
TIC_00065,350000.0,BILL_0036,TRIP_0013
TIC_00066,400000.0,BILL_0037,TRIP_0085
TIC_00067,400000.0,BILL_0037,TRIP_0085
TIC_00068,400000.0,BILL_0037,TRIP_0085
TIC_00069,200000.0,BILL_0038,TRIP_0062
TIC_00070,200000.0,BILL_0038,TRIP_0062
TIC_00071,250000.0,BILL_0039,TRIP_0051
TIC_00072,250000.0,BILL_0039,TRIP_0051
TIC_00073,250000.0,BILL_0039,TRIP_0051
TIC_00074,250000.0,BILL_0040,TRIP_0058
TIC_00075,250000.0,BILL_0040,TRIP_0058
TIC_00076,250000.0,BILL_0041,TRIP_0048
TIC_00077,250000.0,BILL_0041,TRIP_0048
TIC_00078,250000.0,BILL_0041,TRIP_0048
TIC_00079,400000.0,BILL_0042,TRIP_0061
TIC_00080,250000.0,BILL_0043,TRIP_0073
TIC_00081,250000.0,BILL_0043,TRIP_0073
TIC_00082,350000.0,BILL_0044,TRIP_0013
TIC_00083,250000.0,BILL_0045,TRIP_0051
TIC_00084,250000.0,BILL_0046,TRIP_0086
TIC_00085,250000.0,BILL_0046,TRIP_0086
TIC_00086,250000.0,BILL_0047,TRIP_0097
TIC_00087,250000.0,BILL_0047,TRIP_0097
TIC_00088,250000.0,BILL_0047,TRIP_0097
TIC_00089,400000.0,BILL_0048,TRIP_0076
TIC_00090,250000.0,BILL_0049,TRIP_0074
TIC_00091,250000.0,BILL_0049,TRIP_0074
TIC_00092,250000.0,BILL_0050,TRIP_0041
TIC_00093,250000.0,BILL_0050,TRIP_0041
TIC_00094,200000.0,BILL_0051,TRIP_0044
TIC_00095,200000.0,BILL_0052,TRIP_0063
TIC_00096,200000.0,BILL_0052,TRIP_0063
TIC_00097,200000.0,BILL_0052,TRIP_0063
TIC_00098,200000.0,BILL_0053,TRIP_0077
TIC_00099,200000.0,BILL_0053,TRIP_0077
TIC_00100,350000.0,BILL_0054,TRIP_0036
TIC_00101,350000.0,BILL_0054,TRIP_0036
TIC_00102,350000.0,BILL_0054,TRIP_0036
TIC_00103,200000.0,BILL_0055,TRIP_0020
TIC_00104,200000.0,BILL_0055,TRIP_0020
TIC_00105,400000.0,BILL_0056,TRIP_0029
TIC_00106,400000.0,BILL_0056,TRIP_0029
TIC_00107,250000.0,BILL_0057,TRIP_0086
TIC_00108,400000.0,BILL_0058,TRIP_0067
TIC_00109,400000.0,BILL_0058,TRIP_0067
TIC_00110,400000.0,BILL_0059,TRIP_0043
TIC_00111,400000.0,BILL_0059,TRIP_0043
TIC_00112,400000.0,BILL_0059,TRIP_0043
TIC_00113,200000.0,BILL_0060,TRIP_0044
TIC_00114,200000.0,BILL_0060,TRIP_0044
TIC_00115,250000.0,BILL_0061,TRIP_0033
TIC_00116,250000.0,BILL_0061,TRIP_0033
TIC_00117,250000.0,BILL_0062,TRIP_0074
TIC_00118,200000.0,BILL_0063,TRIP_0018
TIC_00119,200000.0,BILL_0064,TRIP_0032
TIC_00120,200000.0,BILL_0064,TRIP_0032
TIC_00121,250000.0,BILL_0065,TRIP_0055
TIC_00122,200000.0,BILL_0066,TRIP_0077
TIC_00123,200000.0,BILL_0066,TRIP_0077
TIC_00124,200000.0,BILL_0066,TRIP_0077
TIC_00125,250000.0,BILL_0067,TRIP_0094
TIC_00126,250000.0,BILL_0067,TRIP_0094
TIC_00127,250000.0,BILL_0068,TRIP_0046
TIC_00128,250000.0,BILL_0068,TRIP_0046
TIC_00129,250000.0,BILL_0068,TRIP_0046
TIC_00130,350000.0,BILL_0069,TRIP_0095
TIC_00131,350000.0,BILL_0069,TRIP_0095
TIC_00132,350000.0,BILL_0070,TRIP_0098
TIC_00133,350000.0,BILL_0070,TRIP_0098
TIC_00134,200000.0,BILL_0071,TRIP_0063
TIC_00135,200000.0,BILL_0071,TRIP_0063
TIC_00136,350000.0,BILL_0072,TRIP_0098
TIC_00137,350000.0,BILL_0072,TRIP_0098
TIC_00138,350000.0,BILL_0072,TRIP_0098
TIC_00139,200000.0,BILL_0073,TRIP_0011
TIC_00140,200000.0,BILL_0073,TRIP_0011
TIC_00141,200000.0,BILL_0073,TRIP_0011
TIC_00142,250000.0,BILL_0074,TRIP_0070
TIC_00143,250000.0,BILL_0074,TRIP_0070
TIC_00144,250000.0,BILL_0074,TRIP_0070
TIC_00145,400000.0,BILL_0075,TRIP_0016
TIC_00146,400000.0,BILL_0075,TRIP_0016
TIC_00147,200000.0,BILL_0076,TRIP_0019
TIC_00148,400000.0,BILL_0077,TRIP_0067
TIC_00149,400000.0,BILL_0077,TRIP_0067
TIC_00150,400000.0,BILL_0077,TRIP_0067
TIC_00151,350000.0,BILL_0078,TRIP_0100
TIC_00152,350000.0,BILL_0078,TRIP_0100
TIC_00153,200000.0,BILL_0079,TRIP_0018
TIC_00154,250000.0,BILL_0080,TRIP_0006
TIC_00155,250000.0,BILL_0080,TRIP_0006
TIC_00156,250000.0,BILL_0080,TRIP_0006
TIC_00157,200000.0,BILL_0081,TRIP_0099
TIC_00158,200000.0,BILL_0082,TRIP_0003
TIC_00159,200000.0,BILL_0082,TRIP_0003
TIC_00160,200000.0,BILL_0082,TRIP_0003
TIC_00161,200000.0,BILL_0083,TRIP_0077
TIC_00162,200000.0,BILL_0083,TRIP_0077
TIC_00163,200000.0,BILL_0083,TRIP_0077
TIC_00164,400000.0,BILL_0084,TRIP_0066
TIC_00165,400000.0,BILL_0084,TRIP_0066
TIC_00166,200000.0,BILL_0085,TRIP_0021
TIC_00167,200000.0,BILL_0085,TRIP_0021
TIC_00168,250000.0,BILL_0086,TRIP_0070
TIC_00169,200000.0,BILL_0087,TRIP_0025
TIC_00170,200000.0,BILL_0087,TRIP_0025
TIC_00171,200000.0,BILL_0087,TRIP_0025
TIC_00172,200000.0,BILL_0088,TRIP_0003
TIC_00173,200000.0,BILL_0088,TRIP_0003
TIC_00174,350000.0,BILL_0089,TRIP_0059
TIC_00175,200000.0,BILL_0090,TRIP_0037
TIC_00176,200000.0,BILL_0090,TRIP_0037
TIC_00177,200000.0,BILL_0091,TRIP_0065
TIC_00178,200000.0,BILL_0091,TRIP_0065
TIC_00179,400000.0,BILL_0092,TRIP_0076
TIC_00180,250000.0,BILL_0093,TRIP_0015
TIC_00181,250000.0,BILL_0093,TRIP_0015
TIC_00182,200000.0,BILL_0094,TRIP_0063
TIC_00183,200000.0,BILL_0094,TRIP_0063
TIC_00184,200000.0,BILL_0094,TRIP_0063
TIC_00185,250000.0,BILL_0095,TRIP_0086
TIC_00186,250000.0,BILL_0096,TRIP_0073
TIC_00187,250000.0,BILL_0096,TRIP_0073
TIC_00188,350000.0,BILL_0097,TRIP_0100
TIC_00189,350000.0,BILL_0097,TRIP_0100
TIC_00190,350000.0,BILL_0097,TRIP_0100
TIC_00191,400000.0,BILL_0098,TRIP_0091
TIC_00192,250000.0,BILL_0099,TRIP_0030
TIC_00193,250000.0,BILL_0099,TRIP_0030
TIC_00194,250000.0,BILL_0099,TRIP_0030
TIC_00195,250000.0,BILL_0100,TRIP_0034
TIC_00196,250000.0,BILL_0101,TRIP_0046
TIC_00197,250000.0,BILL_0101,TRIP_0046
TIC_00198,250000.0,BILL_0102,TRIP_0041
TIC_00199,250000.0,BILL_0102,TRIP_0041
TIC_00200,250000.0,BILL_0103,TRIP_0010
TIC_00201,250000.0,BILL_0103,TRIP_0010
TIC_00202,250000.0,BILL_0104,TRIP_0024
TIC_00203,350000.0,BILL_0105,TRIP_0038
TIC_00204,350000.0,BILL_0105,TRIP_0038
TIC_00205,350000.0,BILL_0105,TRIP_0038
TIC_00206,200000.0,BILL_0106,TRIP_0021
TIC_00207,200000.0,BILL_0106,TRIP_0021
TIC_00208,200000.0,BILL_0106,TRIP_0021
TIC_00209,250000.0,BILL_0107,TRIP_0048
TIC_00210,250000.0,BILL_0107,TRIP_0048
TIC_00211,250000.0,BILL_0107,TRIP_0048
TIC_00212,200000.0,BILL_0108,TRIP_0020
TIC_00213,200000.0,BILL_0108,TRIP_0020
TIC_00214,400000.0,BILL_0109,TRIP_0083
TIC_00215,400000.0,BILL_0110,TRIP_0029
TIC_00216,400000.0,BILL_0110,TRIP_0029
TIC_00217,400000.0,BILL_0111,TRIP_0004
TIC_00218,400000.0,BILL_0111,TRIP_0004
TIC_00219,400000.0,BILL_0111,TRIP_0004
TIC_00220,200000.0,BILL_0112,TRIP_0011
TIC_00221,200000.0,BILL_0112,TRIP_0011
TIC_00222,200000.0,BILL_0112,TRIP_0011
TIC_00223,400000.0,BILL_0113,TRIP_0084
TIC_00224,400000.0,BILL_0113,TRIP_0084
TIC_00225,400000.0,BILL_0113,TRIP_0084
TIC_00226,250000.0,BILL_0114,TRIP_0034
TIC_00227,250000.0,BILL_0114,TRIP_0034
TIC_00228,250000.0,BILL_0114,TRIP_0034
TIC_00229,400000.0,BILL_0115,TRIP_0061
TIC_00230,400000.0,BILL_0115,TRIP_0061
TIC_00231,250000.0,BILL_0116,TRIP_0034
TIC_00232,250000.0,BILL_0116,TRIP_0034
TIC_00233,250000.0,BILL_0117,TRIP_0030
TIC_00234,250000.0,BILL_0117,TRIP_0030
TIC_00235,250000.0,BILL_0118,TRIP_0079
TIC_00236,250000.0,BILL_0118,TRIP_0079
TIC_00237,250000.0,BILL_0119,TRIP_0055
TIC_00238,250000.0,BILL_0119,TRIP_0055
TIC_00239,250000.0,BILL_0119,TRIP_0055
TIC_00240,200000.0,BILL_0120,TRIP_0031
TIC_00241,200000.0,BILL_0120,TRIP_0031
TIC_00242,200000.0,BILL_0120,TRIP_0031
TIC_00243,400000.0,BILL_0121,TRIP_0004
TIC_00244,200000.0,BILL_0122,TRIP_0050
TIC_00245,400000.0,BILL_0123,TRIP_0076
TIC_00246,250000.0,BILL_0124,TRIP_0081
TIC_00247,200000.0,BILL_0125,TRIP_0037
TIC_00248,200000.0,BILL_0125,TRIP_0037
TIC_00249,400000.0,BILL_0126,TRIP_0066
TIC_00250,400000.0,BILL_0126,TRIP_0066
TIC_00251,250000.0,BILL_0127,TRIP_0094
TIC_00252,250000.0,BILL_0127,TRIP_0094
TIC_00253,200000.0,BILL_0128,TRIP_0065
TIC_00254,200000.0,BILL_0128,TRIP_0065
TIC_00255,200000.0,BILL_0128,TRIP_0065
TIC_00256,200000.0,BILL_0129,TRIP_0092
TIC_00257,200000.0,BILL_0129,TRIP_0092
TIC_00258,250000.0,BILL_0130,TRIP_0072
TIC_00259,350000.0,BILL_0131,TRIP_0036
TIC_00260,350000.0,BILL_0131,TRIP_0036
TIC_00261,250000.0,BILL_0132,TRIP_0040
TIC_00262,250000.0,BILL_0132,TRIP_0040
TIC_00263,250000.0,BILL_0132,TRIP_0040
TIC_00264,200000.0,BILL_0133,TRIP_0025
TIC_00265,200000.0,BILL_0133,TRIP_0025
TIC_00266,200000.0,BILL_0133,TRIP_0025
TIC_00267,350000.0,BILL_0134,TRIP_0036
TIC_00268,350000.0,BILL_0134,TRIP_0036
TIC_00269,350000.0,BILL_0134,TRIP_0036
TIC_00270,200000.0,BILL_0135,TRIP_0063
TIC_00271,200000.0,BILL_0135,TRIP_0063
TIC_00272,350000.0,BILL_0136,TRIP_0038
TIC_00273,350000.0,BILL_0136,TRIP_0038
TIC_00274,200000.0,BILL_0137,TRIP_0065
TIC_00275,200000.0,BILL_0138,TRIP_0021
TIC_00276,200000.0,BILL_0138,TRIP_0021
TIC_00277,350000.0,BILL_0139,TRIP_0089
TIC_00278,350000.0,BILL_0139,TRIP_0089
TIC_00279,350000.0,BILL_0139,TRIP_0089
TIC_00280,250000.0,BILL_0140,TRIP_0079
TIC_00281,200000.0,BILL_0141,TRIP_0092
TIC_00282,400000.0,BILL_0142,TRIP_0066
TIC_00283,350000.0,BILL_0143,TRIP_0093
TIC_00284,350000.0,BILL_0143,TRIP_0093
TIC_00285,200000.0,BILL_0144,TRIP_0023
TIC_00286,200000.0,BILL_0144,TRIP_0023
TIC_00287,200000.0,BILL_0144,TRIP_0023
TIC_00288,250000.0,BILL_0145,TRIP_0057
TIC_00289,250000.0,BILL_0145,TRIP_0057
TIC_00290,250000.0,BILL_0145,TRIP_0057
TIC_00291,350000.0,BILL_0146,TRIP_0042
TIC_00292,250000.0,BILL_0147,TRIP_0078
TIC_00293,200000.0,BILL_0148,TRIP_0007
TIC_00294,200000.0,BILL_0148,TRIP_0007
TIC_00295,250000.0,BILL_0149,TRIP_0079
TIC_00296,250000.0,BILL_0149,TRIP_0079
TIC_00297,200000.0,BILL_0150,TRIP_0025
TIC_00298,200000.0,BILL_0150,TRIP_0025
TIC_00299,200000.0,BILL_0150,TRIP_0025
