tic_id,seat_id
TIC_00169,SEAT_020
TIC_00170,SEAT_028
TIC_00171,SEAT_022
TIC_00172,SEAT_032
TIC_00173,SEAT_024
TIC_00174,SEAT_028
TIC_00175,SEAT_019
TIC_00176,SEAT_007
TIC_00177,SEAT_003
TIC_00178,SEAT_028
TIC_00179,SEAT_034
TIC_00180,SEAT_009
TIC_00181,SEAT_001
TIC_00182,SEAT_004
TIC_00183,SEAT_016
TIC_00184,SEAT_020
TIC_00185,SEAT_028
TIC_00186,SEAT_008
TIC_00187,SEAT_012
TIC_00188,SEAT_020
TIC_00189,SEAT_007
TIC_00190,SEAT_010
TIC_00191,SEAT_012
TIC_00192,SEAT_005
TIC_00193,SEAT_030
TIC_00194,SEAT_002
TIC_00195,SEAT_034
TIC_00196,SEAT_004
TIC_00197,SEAT_008
TIC_00198,SEAT_024
TIC_00199,SEAT_030
TIC_00200,SEAT_007
TIC_00201,SEAT_013
TIC_00202,SEAT_021
TIC_00203,SEAT_013
TIC_00204,SEAT_029
TIC_00205,SEAT_019
TIC_00206,SEAT_028
TIC_00207,SEAT_005
TIC_00208,SEAT_013
TIC_00209,SEAT_014
TIC_00210,SEAT_024
TIC_00211,SEAT_025
TIC_00212,SEAT_007
TIC_00213,SEAT_021
TIC_00214,SEAT_036
TIC_00215,SEAT_013
TIC_00216,SEAT_030
TIC_00217,SEAT_004
TIC_00218,SEAT_021
TIC_00219,SEAT_008
TIC_00220,SEAT_022
TIC_00221,SEAT_030
TIC_00222,SEAT_026
TIC_00223,SEAT_031
TIC_00224,SEAT_021
TIC_00225,SEAT_028
TIC_00226,SEAT_021
TIC_00227,SEAT_012
TIC_00228,SEAT_027
TIC_00229,SEAT_004
TIC_00230,SEAT_002
TIC_00231,SEAT_028
TIC_00232,SEAT_030
TIC_00233,SEAT_017
TIC_00234,SEAT_026
TIC_00235,SEAT_007
TIC_00236,SEAT_010
TIC_00237,SEAT_036
TIC_00238,SEAT_035
TIC_00239,SEAT_026
TIC_00240,SEAT_024
TIC_00241,SEAT_018
TIC_00242,SEAT_033
TIC_00243,SEAT_002
TIC_00244,SEAT_006
TIC_00245,SEAT_016
TIC_00246,SEAT_025
TIC_00247,SEAT_024
TIC_00248,SEAT_027
TIC_00249,SEAT_006
TIC_00250,SEAT_011
TIC_00251,SEAT_003
TIC_00252,SEAT_036
TIC_00253,SEAT_031
TIC_00254,SEAT_002
TIC_00255,SEAT_025
TIC_00256,SEAT_031
TIC_00257,SEAT_004
TIC_00258,SEAT_033
TIC_00259,SEAT_032
TIC_00260,SEAT_018
TIC_00261,SEAT_009
TIC_00262,SEAT_011
TIC_00263,SEAT_018
TIC_00264,SEAT_006
TIC_00265,SEAT_034
TIC_00266,SEAT_019
TIC_00267,SEAT_020
TIC_00268,SEAT_022
TIC_00269,SEAT_002
TIC_00270,SEAT_031
TIC_00271,SEAT_013
TIC_00272,SEAT_020
TIC_00273,SEAT_016
TIC_00274,SEAT_005
TIC_00275,SEAT_024
TIC_00276,SEAT_009
TIC_00277,SEAT_020
TIC_00278,SEAT_028
TIC_00279,SEAT_007
TIC_00280,SEAT_036
TIC_00281,SEAT_011
TIC_00282,SEAT_008
TIC_00283,SEAT_026
TIC_00284,SEAT_013
TIC_00285,SEAT_020
TIC_00286,SEAT_034
TIC_00287,SEAT_026
TIC_00288,SEAT_036
TIC_00289,SEAT_033
TIC_00290,SEAT_017
TIC_00291,SEAT_008
TIC_00292,SEAT_021
TIC_00293,SEAT_023
TIC_00294,SEAT_002
TIC_00295,SEAT_034
TIC_00296,SEAT_029
TIC_00297,SEAT_015
TIC_00298,SEAT_017
TIC_00299,SEAT_016
