trip_id,dep_time,arr_time,duration,type,price,dep_sta_id,arr_sta_id,license_plate
TRIP_0017,2026-04-23 11:00:00,2026-04-23 16:04:00,304,normal,200000,LOC_HN_002,LOC_NA_003,37B-482.94
TRIP_0018,2026-04-25 09:00:00,2026-04-25 15:16:00,376,normal,200000,LOC_HT_003,LOC_HN_003,73B-694.55
TRIP_0019,2026-04-20 19:00:00,2026-04-21 01:29:00,389,normal,200000,LOC_QB_001,LOC_NA_002,37B-283.57
TRIP_0020,2026-04-25 21:00:00,2026-04-26 01:09:00,249,normal,200000,LOC_HN_003,LOC_NA_003,29B-777.78
TRIP_0021,2026-04-22 22:00:00,2026-04-23 05:33:00,453,normal,200000,LOC_HT_001,LOC_HN_003,29B-529.13
TRIP_0022,2026-04-25 17:00:00,2026-04-26 00:21:00,441,vip,400000,LOC_QB_003,LOC_HN_001,29B-926.70
TRIP_0023,2026-04-22 11:00:00,2026-04-22 17:08:00,368,normal,200000,LOC_NA_002,LOC_DN_002,29B-777.78
TRIP_0024,2026-04-24 07:00:00,2026-04-24 11:14:00,254,normal,250000,LOC_QB_003,LOC_NA_001,37B-779.50
TRIP_0025,2026-04-21 13:00:00,2026-04-21 20:02:00,422,normal,200000,LOC_HN_001,LOC_QB_002,73B-318.88
TRIP_0026,2026-04-21 17:00:00,2026-04-21 22:10:00,310,vip,350000,LOC_HN_001,LOC_DN_002,29B-926.70
TRIP_0027,2026-04-25 17:00:00,2026-04-26 00:11:00,431,normal,200000,LOC_HT_002,LOC_NA_002,37B-779.50
TRIP_0028,2026-04-20 08:00:00,2026-04-20 14:13:00,373,normal,200000,LOC_HN_003,LOC_QB_001,30F-481.69
TRIP_0029,2026-04-25 06:00:00,2026-04-25 10:03:00,243,vip,400000,LOC_DN_002,LOC_QB_001,29B-926.70
TRIP_0030,2026-04-20 22:00:00,2026-04-21 04:01:00,361,normal,250000,LOC_HT_001,LOC_NA_001,30F-216.30
TRIP_0031,2026-04-21 09:00:00,2026-04-21 13:15:00,255,normal,200000,LOC_HT_003,LOC_DN_002,37B-494.99
TRIP_0032,2026-04-23 09:00:00,2026-04-23 16:15:00,435,normal,200000,LOC_QB_002,LOC_HN_004,37B-283.71
TRIP_0033,2026-04-25 10:00:00,2026-04-25 17:17:00,437,normal,250000,LOC_QB_002,LOC_HT_003,30F-710.35
TRIP_0034,2026-04-22 17:00:00,2026-04-22 21:54:00,294,normal,250000,LOC_NA_001,LOC_DN_002,29B-777.78
TRIP_0035,2026-04-22 09:00:00,2026-04-22 16:10:00,430,vip,400000,LOC_NA_003,LOC_HT_003,30F-171.88
TRIP_0036,2026-04-25 12:00:00,2026-04-25 16:17:00,257,vip,350000,LOC_HT_003,LOC_NA_001,37B-291.34
TRIP_0037,2026-04-21 19:00:00,2026-04-22 00:13:00,313,normal,200000,LOC_NA_001,LOC_HT_003,73B-208.68
TRIP_0038,2026-04-22 10:00:00,2026-04-22 14:19:00,259,vip,350000,LOC_HT_002,LOC_HN_004,29B-926.70
TRIP_0039,2026-04-22 10:00:00,2026-04-22 17:38:00,458,vip,350000,LOC_HN_003,LOC_NA_002,37B-340.65
TRIP_0040,2026-04-20 18:00:00,2026-04-20 22:14:00,254,normal,250000,LOC_HT_002,LOC_QB_003,73B-318.88
TRIP_0041,2026-04-25 10:00:00,2026-04-25 16:06:00,366,normal,250000,LOC_HT_003,LOC_HN_004,73B-208.68
TRIP_0042,2026-04-20 20:00:00,2026-04-21 00:27:00,267,vip,350000,LOC_QB_001,LOC_HT_001,37B-340.65
TRIP_0043,2026-04-20 13:00:00,2026-04-20 20:18:00,438,vip,400000,LOC_DN_001,LOC_NA_001,30F-171.88
TRIP_0044,2026-04-23 09:00:00,2026-04-23 16:26:00,446,normal,200000,LOC_NA_001,LOC_DN_002,73B-844.17
TRIP_0045,2026-04-21 14:00:00,2026-04-21 21:55:00,475,vip,400000,LOC_HN_002,LOC_QB_002,30F-235.60
TRIP_0046,2026-04-22 21:00:00,2026-04-23 01:39:00,279,normal,250000,LOC_HT_002,LOC_QB_003,43B-770.99
TRIP_0047,2026-04-23 10:00:00,2026-04-23 15:45:00,345,normal,250000,LOC_QB_003,LOC_DN_002,30F-216.30
TRIP_0048,2026-04-22 12:00:00,2026-04-22 16:15:00,255,normal,250000,LOC_QB_001,LOC_HN_002,29B-388.82
TRIP_0049,2026-04-25 18:00:00,2026-04-25 22:36:00,276,normal,200000,LOC_NA_003,LOC_HN_003,37B-779.50
TRIP_0050,2026-04-21 12:00:00,2026-04-21 16:02:00,242,normal,200000,LOC_HT_002,LOC_QB_002,38B-771.16
TRIP_0051,2026-04-23 05:00:00,2026-04-23 09:43:00,283,normal,250000,LOC_DN_001,LOC_HN_004,29B-176.42
TRIP_0052,2026-04-20 22:00:00,2026-04-21 04:26:00,386,vip,400000,LOC_NA_001,LOC_HN_001,43B-892.70
TRIP_0053,2026-04-21 13:00:00,2026-04-21 18:12:00,312,vip,400000,LOC_HT_003,LOC_DN_002,43B-892.70
TRIP_0054,2026-04-23 19:00:00,2026-04-24 02:29:00,449,normal,200000,LOC_HT_003,LOC_DN_002,29B-457.52
TRIP_0055,2026-04-23 14:00:00,2026-04-23 21:20:00,440,normal,250000,LOC_QB_002,LOC_HT_001,29B-457.52
TRIP_0056,2026-04-21 08:00:00,2026-04-21 15:01:00,421,vip,400000,LOC_DN_001,LOC_QB_002,38B-642.35
TRIP_0057,2026-04-23 07:00:00,2026-04-23 11:08:00,248,normal,250000,LOC_NA_001,LOC_QB_002,43B-770.99
TRIP_0058,2026-04-24 19:00:00,2026-04-24 23:23:00,263,normal,250000,LOC_DN_002,LOC_HN_003,73B-318.88
TRIP_0059,2026-04-23 12:00:00,2026-04-23 18:54:00,414,vip,350000,LOC_HN_001,LOC_DN_001,37B-291.34
TRIP_0060,2026-04-25 07:00:00,2026-04-25 11:03:00,243,vip,400000,LOC_NA_001,LOC_DN_002,73B-178.82
TRIP_0061,2026-04-21 05:00:00,2026-04-21 10:18:00,318,vip,400000,LOC_NA_003,LOC_DN_002,38B-642.35
TRIP_0062,2026-04-24 19:00:00,2026-04-25 00:05:00,305,normal,200000,LOC_NA_002,LOC_HT_002,29B-176.42
TRIP_0063,2026-04-25 11:00:00,2026-04-25 17:06:00,366,normal,200000,LOC_QB_003,LOC_HN_001,30F-481.69
TRIP_0064,2026-04-24 14:00:00,2026-04-24 18:11:00,251,vip,350000,LOC_QB_003,LOC_HT_003,38B-253.84
TRIP_0065,2026-04-23 06:00:00,2026-04-23 11:35:00,335,normal,200000,LOC_NA_003,LOC_HT_002,43B-489.84
TRIP_0066,2026-04-21 10:00:00,2026-04-21 14:08:00,248,vip,400000,LOC_HN_001,LOC_NA_002,37B-437.23
TRIP_0067,2026-04-23 21:00:00,2026-04-24 01:56:00,296,vip,400000,LOC_DN_001,LOC_HT_003,30F-700.79
TRIP_0068,2026-04-22 21:00:00,2026-04-23 02:28:00,328,normal,200000,LOC_QB_003,LOC_DN_001,73B-694.55
TRIP_0069,2026-04-24 17:00:00,2026-04-25 00:39:00,459,normal,200000,LOC_NA_003,LOC_DN_002,37B-669.19
TRIP_0070,2026-04-25 18:00:00,2026-04-25 22:12:00,252,normal,250000,LOC_NA_003,LOC_QB_002,73B-318.88
TRIP_0071,2026-04-24 19:00:00,2026-04-25 00:40:00,340,normal,250000,LOC_HN_004,LOC_DN_002,37B-283.71
TRIP_0072,2026-04-20 14:00:00,2026-04-20 19:50:00,350,normal,250000,LOC_HT_002,LOC_HN_004,29B-529.13
TRIP_0073,2026-04-23 15:00:00,2026-04-23 19:41:00,281,normal,250000,LOC_QB_001,LOC_HN_003,29B-529.13
TRIP_0074,2026-04-21 20:00:00,2026-04-22 03:30:00,450,normal,250000,LOC_QB_003,LOC_HT_002,37B-482.94
TRIP_0075,2026-04-24 05:00:00,2026-04-24 12:26:00,446,vip,350000,LOC_QB_003,LOC_HN_003,30F-171.88
TRIP_0076,2026-04-25 19:00:00,2026-04-26 01:27:00,387,vip,400000,LOC_HN_003,LOC_DN_001,37B-291.34
TRIP_0077,2026-04-23 21:00:00,2026-04-24 03:43:00,403,normal,200000,LOC_HT_002,LOC_NA_001,43B-770.99
TRIP_0078,2026-04-23 16:00:00,2026-04-23 22:04:00,364,normal,250000,LOC_HT_003,LOC_QB_001,29B-367.21
TRIP_0079,2026-04-20 05:00:00,2026-04-20 10:52:00,352,normal,250000,LOC_NA_001,LOC_HN_004,38B-149.71
TRIP_0080,2026-04-22 15:00:00,2026-04-22 21:11:00,371,normal,200000,LOC_QB_003,LOC_NA_002,29B-529.13
TRIP_0081,2026-04-21 13:00:00,2026-04-21 20:08:00,428,normal,250000,LOC_HN_002,LOC_QB_002,38B-644.65
TRIP_0082,2026-04-20 08:00:00,2026-04-20 13:04:00,304,vip,350000,LOC_NA_001,LOC_HN_004,30F-700.79
TRIP_0083,2026-04-20 16:00:00,2026-04-20 20:55:00,295,vip,400000,LOC_HN_002,LOC_HT_001,30F-700.79
TRIP_0084,2026-04-23 18:00:00,2026-04-24 00:10:00,370,vip,400000,LOC_QB_003,LOC_HT_001,37B-209.94
TRIP_0085,2026-04-25 13:00:00,2026-04-25 20:46:00,466,vip,400000,LOC_HN_001,LOC_NA_003,37B-209.94
TRIP_0086,2026-04-23 11:00:00,2026-04-23 17:59:00,419,normal,250000,LOC_HN_003,LOC_HT_001,38B-524.48
TRIP_0087,2026-04-23 06:00:00,2026-04-23 13:57:00,477,vip,350000,LOC_QB_002,LOC_HT_001,43B-892.70
TRIP_0088,2026-04-22 14:00:00,2026-04-22 20:02:00,362,normal,200000,LOC_QB_003,LOC_HN_003,73B-844.17
TRIP_0089,2026-04-25 22:00:00,2026-04-26 05:02:00,422,vip,350000,LOC_DN_001,LOC_NA_003,38B-642.35
TRIP_0090,2026-04-21 09:00:00,2026-04-21 16:34:00,454,vip,400000,LOC_QB_003,LOC_HN_002,30F-700.79
TRIP_0091,2026-04-22 08:00:00,2026-04-22 14:01:00,361,vip,400000,LOC_QB_001,LOC_DN_001,38B-253.84
TRIP_0092,2026-04-21 10:00:00,2026-04-21 15:41:00,341,normal,200000,LOC_HN_001,LOC_NA_001,37B-230.25
TRIP_0093,2026-04-21 17:00:00,2026-04-22 00:03:00,423,vip,350000,LOC_QB_003,LOC_HT_001,43B-892.70
TRIP_0094,2026-04-22 17:00:00,2026-04-22 22:35:00,335,normal,250000,LOC_HN_001,LOC_HT_002,73B-499.51
TRIP_0095,2026-04-20 19:00:00,2026-04-21 00:12:00,312,vip,350000,LOC_DN_002,LOC_NA_001,30F-171.88
TRIP_0096,2026-04-25 14:00:00,2026-04-25 18:29:00,269,vip,350000,LOC_HT_002,LOC_NA_001,73B-178.82
TRIP_0097,2026-04-23 08:00:00,2026-04-23 13:41:00,341,normal,250000,LOC_HN_002,LOC_NA_002,29B-595.76
TRIP_0098,2026-04-23 10:00:00,2026-04-23 16:38:00,398,vip,350000,LOC_HN_002,LOC_QB_003,29B-186.10
TRIP_0099,2026-04-21 20:00:00,2026-04-22 03:05:00,425,normal,200000,LOC_HT_002,LOC_DN_001,73B-157.22
TRIP_0100,2026-04-22 06:00:00,2026-04-22 13:20:00,440,vip,350000,LOC_QB_002,LOC_HT_001,43B-892.70
